EmpID,Age,Department,Education,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,Satisfied_in_job,MonthlyIncome,PerformanceRating
RM297,18,Research & Development,3,Male,3,1,Laboratory Technician,3,Yes,1420,3
RM302,18,Sales,3,Female,2,1,Sales Representative,3,Yes,1200,3
RM458,18,Sales,3,Male,3,1,Sales Representative,2,No,1878,3
RM728,18,Research & Development,2,Male,3,1,Research Scientist,4,Yes,1051,3
RM829,18,Research & Development,1,Male,3,1,Laboratory Technician,3,Yes,1904,3
RM973,18,Research & Development,3,Female,3,1,Laboratory Technician,4,Yes,1611,3
RM1154,18,Sales,2,Female,3,1,Sales Representative,4,Yes,1569,3
RM1312,18,Research & Development,3,Female,3,1,Research Scientist,3,Yes,1514,3
RM128,19,Sales,1,Male,3,1,Sales Representative,3,Yes,1675,3
RM150,19,Research & Development,1,Female,3,1,Laboratory Technician,2,No,1483,3
RM172,19,Sales,1,Female,1,1,Sales Representative,1,No,2325,4
RM178,19,Research & Development,3,Male,2,1,Laboratory Technician,4,Yes,1102,4
RM423,19,Human Resources,2,Male,2,1,Human Resources,4,Yes,2564,3
RM689,19,Sales,3,Male,2,1,Sales Representative,2,No,2121,3
RM854,19,Research & Development,2,Male,3,1,Research Scientist,1,No,2552,4
RM893,19,Research & Development,3,Female,2,1,Research Scientist,2,No,1859,4
RM910,19,Research & Development,3,Female,4,1,Research Scientist,4,Yes,2994,3
RM103,20,Research & Development,3,Female,2,1,Laboratory Technician,4,Yes,2926,3
RM488,20,Research & Development,3,Female,2,1,Research Scientist,2,No,2836,3
RM514,20,Research & Development,1,Male,3,1,Research Scientist,3,Yes,1009,3
RM663,20,Sales,3,Female,2,1,Sales Representative,3,Yes,2044,3
RM690,20,Research & Development,3,Male,3,1,Laboratory Technician,1,No,2973,3
RM732,20,Research & Development,3,Female,2,1,Research Scientist,1,No,2600,3
RM777,20,Sales,3,Female,3,1,Sales Representative,4,Yes,2323,3
RM857,20,Research & Development,3,Male,2,1,Laboratory Technician,3,Yes,3033,3
RM877,20,Sales,3,Male,4,1,Sales Representative,4,Yes,2678,3
RM1179,20,Sales,3,Female,3,1,Sales Representative,3,Yes,2783,3
RM1198,20,Sales,1,Male,3,1,Sales Representative,1,No,2728,3
RM024,21,Research & Development,2,Male,3,1,Research Scientist,4,Yes,1232,3
RM275,21,Research & Development,2,Male,2,1,Research Scientist,3,Yes,3230,3
RM358,21,Sales,1,Female,2,1,Sales Representative,2,No,2174,3
RM363,21,Sales,2,Male,3,1,Sales Representative,4,Yes,2610,4
RM371,21,Sales,3,Female,4,1,Sales Representative,2,No,2716,3
RM497,21,Sales,1,Male,3,1,Sales Representative,3,Yes,3447,3
RM664,21,Research & Development,1,Female,3,1,Research Scientist,4,Yes,2693,3
RM778,21,Research & Development,3,Female,2,1,Laboratory Technician,1,No,1416,3
RM816,21,Research & Development,1,Female,2,1,Research Scientist,2,No,2070,3
RM916,21,Research & Development,2,Female,2,1,Laboratory Technician,3,Yes,2625,4
RM1153,21,Research & Development,1,Male,3,1,Research Scientist,4,Yes,3117,3
RM1272,21,Sales,1,Male,3,1,Sales Representative,2,No,2679,3
RM1437,21,Sales,1,Male,3,1,Sales Representative,1,No,2380,3
RM018,22,Research & Development,2,Male,4,1,Laboratory Technician,4,Yes,2935,3
RM110,22,Research & Development,3,Female,3,1,Laboratory Technician,4,Yes,2871,3
RM129,22,Research & Development,1,Male,3,1,Laboratory Technician,4,Yes,2523,3
RM161,22,Research & Development,1,Male,3,1,Research Scientist,4,Yes,2323,4
RM207,22,Research & Development,3,Male,4,1,Research Scientist,2,No,2328,3
RM384,22,Research & Development,3,Female,3,1,Research Scientist,2,No,2244,3
RM444,22,Research & Development,1,Male,2,1,Laboratory Technician,3,Yes,3894,3
RM499,22,Research & Development,1,Male,3,1,Research Scientist,3,Yes,2773,4
RM631,22,Research & Development,2,Male,2,2,Manufacturing Director,4,Yes,4775,4
RM667,22,Research & Development,1,Female,3,2,Manufacturing Director,3,Yes,4171,3
RM735,22,Research & Development,1,Male,1,1,Laboratory Technician,1,No,2451,3
RM861,22,Research & Development,4,Male,2,1,Research Scientist,4,Yes,2853,3
RM1138,22,Research & Development,2,Female,2,1,Research Scientist,3,Yes,2814,3
RM1274,22,Research & Development,1,Female,3,1,Laboratory Technician,1,No,2398,3
RM1340,22,Research & Development,1,Male,3,1,Research Scientist,2,No,2472,4
RM1424,22,Research & Development,2,Male,3,1,Research Scientist,3,Yes,3375,3
RM087,23,Sales,1,Male,3,1,Sales Representative,1,No,2322,3
RM346,23,Research & Development,1,Male,3,1,Research Scientist,4,Yes,2904,3
RM517,23,Research & Development,3,Male,4,1,Research Scientist,1,No,2819,3
RM551,23,Research & Development,1,Male,3,1,Laboratory Technician,1,No,2500,3
RM566,23,Research & Development,1,Male,4,1,Research Scientist,3,Yes,3505,3
RM586,23,Research & Development,3,Male,4,1,Laboratory Technician,1,No,1601,4
RM911,23,Research & Development,2,Male,3,1,Research Scientist,3,Yes,1223,4
RM1083,23,Research & Development,1,Male,3,2,Laboratory Technician,3,Yes,2272,3
RM1128,23,Research & Development,3,Male,4,1,Research Scientist,3,Yes,2073,3
RM1202,23,Research & Development,1,Male,2,1,Laboratory Technician,3,Yes,3989,3
RM1214,23,Sales,3,Male,3,1,Sales Representative,4,Yes,2275,4
RM1239,23,Research & Development,1,Female,3,1,Laboratory Technician,2,No,3295,3
RM1409,23,Research & Development,2,Male,3,1,Laboratory Technician,4,Yes,2647,3
RM1439,23,Sales,3,Male,3,1,Sales Representative,1,No,1790,3
RM021,24,Research & Development,2,Female,4,2,Manufacturing Director,3,Yes,4011,3
RM035,24,Research & Development,3,Male,3,1,Research Scientist,4,Yes,2293,3
RM097,24,Sales,2,Female,3,2,Sales Executive,3,Yes,4999,4
RM114,24,Research & Development,1,Male,3,1,Laboratory Technician,3,Yes,2774,3
RM381,24,Sales,4,Female,3,2,Sales Executive,3,Yes,4260,3
RM415,24,Sales,1,Female,3,1,Sales Representative,2,No,3202,3
RM471,24,Sales,3,Male,3,1,Sales Representative,4,Yes,2400,3
RM475,24,Research & Development,3,Male,4,1,Research Scientist,4,Yes,2725,3
RM477,24,Research & Development,2,Male,2,1,Laboratory Technician,2,No,2127,4
RM480,24,Research & Development,3,Female,3,1,Laboratory Technician,3,Yes,2886,3
RM526,24,Sales,2,Female,3,2,Sales Executive,3,Yes,4577,3
RM587,24,Research & Development,3,Male,2,1,Laboratory Technician,2,No,2694,3
RM641,24,Research & Development,1,Male,2,1,Laboratory Technician,4,Yes,3162,3
RM725,24,Research & Development,1,Female,2,2,Manufacturing Director,3,Yes,4377,3
RM842,24,Research & Development,3,Male,3,1,Laboratory Technician,2,No,3597,4
RM872,24,Research & Development,2,Female,3,1,Laboratory Technician,2,No,2210,3
RM1026,24,Sales,1,Female,3,2,Sales Executive,3,Yes,4162,3
RM1061,24,Research & Development,3,Male,3,1,Laboratory Technician,1,No,3172,3
RM1062,24,Sales,2,Female,3,1,Sales Representative,2,No,2033,3
RM1098,24,Research & Development,2,Male,2,1,Laboratory Technician,1,No,2296,3
RM1169,24,Research & Development,1,Female,3,1,Research Scientist,4,Yes,3760,3
RM1218,24,Research & Development,3,Male,4,1,Research Scientist,3,Yes,4401,3
RM1223,24,Human Resources,1,Male,1,1,Human Resources,3,Yes,1555,3
RM1231,24,Research & Development,1,Male,3,1,Laboratory Technician,1,No,3907,3
RM1246,24,Human Resources,3,Male,3,1,Human Resources,4,Yes,2145,3
RM1408,24,Research & Development,2,Male,2,2,Healthcare Representative,3,Yes,4617,3
RM108,25,Sales,3,Male,2,2,Sales Executive,3,Yes,5744,3
RM109,25,Research & Development,1,Male,2,1,Research Scientist,4,Yes,2889,3
RM139,25,Sales,3,Male,2,2,Sales Executive,3,Yes,8639,3
RM256,25,Research & Development,3,Female,3,2,Manufacturing Director,3,Yes,4898,3
RM268,25,Research & Development,2,Male,4,2,Healthcare Representative,1,No,4000,3
RM398,25,Sales,2,Female,2,2,Sales Executive,4,Yes,4487,3
RM406,25,Research & Development,3,Male,3,1,Laboratory Technician,1,No,4031,3
RM479,25,Sales,1,Male,3,1,Sales Representative,3,Yes,2096,3
RM518,25,Sales,3,Male,4,2,Sales Executive,2,No,4851,4
RM564,25,Sales,1,Female,3,2,Sales Executive,4,Yes,6180,4
RM619,25,Research & Development,1,Male,4,1,Research Scientist,1,No,3424,3
RM635,25,Sales,1,Male,3,2,Sales Executive,1,No,4194,3
RM639,25,Sales,1,Male,2,2,Sales Executive,1,No,4256,3
RM684,25,Sales,2,Male,2,1,Sales Representative,2,No,2413,3
RM797,25,Research & Development,1,Male,3,1,Laboratory Technician,4,Yes,3691,3
RM886,25,Sales,4,Male,3,2,Sales Executive,4,Yes,4950,3
RM912,25,Sales,1,Male,1,1,Sales Representative,4,Yes,1118,3
RM935,25,Research & Development,3,Female,3,1,Research Scientist,2,No,2096,3
RM966,25,Research & Development,1,Male,3,1,Laboratory Technician,4,Yes,3669,3
RM994,25,Sales,1,Male,4,2,Sales Executive,3,Yes,6232,3
RM1004,25,Research & Development,3,Male,3,1,Laboratory Technician,4,Yes,3229,3
RM1022,25,Sales,2,Male,2,1,Sales Representative,1,No,4400,3
